subject,n_windows,unstable_window_fraction,alignment_mean_p05,jackknife_instability_p95,split_score_p95,outlier_score_p95,dominant_best_split_partition,dominant_outlier_modality
shhs1-204632,106,0.8113207547169812,0.4699626564979553,0.1187531054019928,0.2322691977024078,0.2167917490005493,BAS+RESP|EKG+EMG,EKG
shhs1-204823,89,0.8089887640449438,0.5515844225883484,0.0948346331715583,0.450370192527771,0.1556532531976699,BAS+RESP|EKG+EMG,BAS
shhs1-200392,77,0.8051948051948052,0.4840372800827026,0.1142107024788856,0.2933946549892425,0.1687424331903457,BAS+RESP|EKG+EMG,EKG
shhs1-204170,95,0.8,0.4741665422916412,0.1159144192934036,0.3445013761520386,0.2366335242986679,BAS+RESP|EKG+EMG,EKG
shhs1-203253,80,0.8,0.4595817327499389,0.1207026019692421,0.2615020871162414,0.1615350991487503,BAS+RESP|EKG+EMG,EMG
shhs1-204928,89,0.797752808988764,0.4859330654144287,0.113703079521656,0.4104226529598236,0.1964755207300186,BAS+RESP|EKG+EMG,BAS
shhs1-201882,108,0.7962962962962963,0.5635756850242615,0.0915761068463325,0.4418606162071228,0.2134885638952255,BAS+RESP|EKG+EMG,BAS
shhs1-204902,106,0.7924528301886793,0.4497210383415222,0.1220162436366081,0.3793817162513733,0.1613799631595611,BAS+RESP|EKG+EMG,BAS
shhs1-202955,105,0.7904761904761904,0.571736752986908,0.0895558074116706,0.4527806341648102,0.1538447141647339,BAS+RESP|EKG+EMG,BAS
shhs1-205199,105,0.7904761904761904,0.4264055788516998,0.1283788681030273,0.3670383393764496,0.1375027149915695,BAS+RESP|EKG+EMG,BAS
shhs1-203203,105,0.7904761904761904,0.4611715078353882,0.1204345598816871,0.2845299243927002,0.2172510623931884,BAS+RESP|EKG+EMG,EMG
shhs1-203775,95,0.7894736842105263,0.5316789150238037,0.1016874238848686,0.4482442140579223,0.2130790054798126,BAS+RESP|EKG+EMG,BAS
shhs1-205280,95,0.7894736842105263,0.491175502538681,0.110846146941185,0.3907693922519684,0.1880254000425338,BAS+RESP|EKG+EMG,BAS
shhs1-202048,108,0.7870370370370371,0.472989022731781,0.1154816672205925,0.3724544942378998,0.20534747838974,BAS+RESP|EKG+EMG,BAS
shhs1-203837,89,0.7865168539325843,0.5854411125183105,0.0865552574396133,0.4534845948219299,0.2005959153175354,BAS+RESP|EKG+EMG,BAS
shhs1-204602,98,0.7857142857142857,0.4993656575679779,0.1106735467910766,0.2759101688861847,0.1898529827594757,BAS+RESP|EKG+EMG,BAS
shhs1-201342,83,0.7831325301204819,0.4413720965385437,0.1249839588999748,0.314054399728775,0.1742942482233047,BAS+RESP|EKG+EMG,BAS
shhs1-200893,106,0.7830188679245284,0.5800192952156067,0.0886922776699066,0.4984459280967712,0.2308687269687652,BAS+RESP|EKG+EMG,BAS
shhs1-204045,101,0.7821782178217822,0.5577176213264465,0.0931368768215179,0.4723272323608398,0.1632749140262603,BAS+RESP|EKG+EMG,BAS
shhs1-202160,105,0.780952380952381,0.5720695853233337,0.0904366075992584,0.4435769915580749,0.224720761179924,BAS+RESP|EKG+EMG,RESP
shhs1-205333,95,0.7789473684210526,0.4689578115940094,0.1183165833353996,0.2555211186408996,0.1815766543149948,BAS+RESP|EKG+EMG,EKG
shhs1-204049,106,0.7735849056603774,0.5423070788383484,0.097485676407814,0.4617192149162292,0.2140667140483856,BAS+RESP|EKG+EMG,BAS
shhs1-204153,106,0.7735849056603774,0.4495939016342163,0.1233567297458648,0.2523501515388489,0.2008461207151413,BAS+RESP|EKG+EMG,EKG
shhs1-200244,102,0.7647058823529411,0.5758568644523621,0.089379109442234,0.4305046796798706,0.2082304507493972,BAS+RESP|EKG+EMG,BAS
shhs1-204901,106,0.7641509433962265,0.4837638735771179,0.1143770664930343,0.3087228238582611,0.195676103234291,BAS+RESP|EKG+EMG,BAS
shhs1-204587,89,0.7528089887640449,0.5380873680114746,0.098713494837284,0.4272601902484894,0.2347543388605117,BAS+RESP|EKG+EMG,BAS
shhs1-200933,106,0.7452830188679245,0.4876498281955719,0.1123923063278198,0.4298064410686493,0.2251686751842498,BAS+RESP|EKG+EMG,BAS
shhs1-204643,106,0.7452830188679245,0.4773344397544861,0.115141287446022,0.2970710396766662,0.1755482256412506,BAS+RESP|EKG+EMG,EKG
shhs1-204361,106,0.7452830188679245,0.4583804905414581,0.1214788779616355,0.2261820435523986,0.1255431175231933,BAS+RESP|EKG+EMG,EKG
shhs1-203661,105,0.7428571428571429,0.5454861521720886,0.09750746935606,0.4057986736297607,0.2582091093063354,BAS+RESP|EKG+EMG,BAS
